Result Time,Granularity Period,Object Name,Reliability,"Average CQI","DL 16 QAM","DL 64QAM (%)","DL PRB Usage Rate (%)","DL QPSK (%)","L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.E-RAB.AttEst","L.E-RAB.SuccEst","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.Traffic.DL.SCH.16QAM.TB","L.Traffic.DL.SCH.16QAM.TB.Retrans","L.Traffic.DL.SCH.64QAM.TB","L.Traffic.DL.SCH.64QAM.TB.Retrans","L.Traffic.DL.SCH.QPSK.TB","L.Traffic.DL.SCH.QPSK.TB.Retrans","L.Traffic.UL.SCH.16QAM.TB","L.Traffic.UL.SCH.16QAM.TB.Retrans","L.Traffic.UL.SCH.64QAM.TB","L.Traffic.UL.SCH.64QAM.TB.Retrans","L.Traffic.UL.SCH.QPSK.TB","L.Traffic.UL.SCH.QPSK.TB.Retrans","Rach Success","Rach Success Rate (%)","RACH Request","UL PRB Usage Rate (%)"
,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None
2021-11-16 16:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=0, Cell Name=LTRP2001-0, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,10.307,58.336,20.457,68.402,21.206,101470473,17444589,662255,0,607,607,77,77,2,2,2088527,251629,727371,93270,777964,72731,4581530,89038,0,0,4884712,226057,740,100,740,39.142
2021-11-16 16:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=1, Cell Name=LTRP2001-1, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,10.122,40.121,32.683,74.64,27.196,90029541,40144049,607017,0,1334,1333,139,139,2,2,3024008,441492,2598322,224729,2039117,309923,3249662,90699,0,0,8337123,479908,1558,100,1558,67.56
2021-11-16 16:00,60,"LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014/Cell:eNodeB Function Name=LTRP2001-AJODHIAPUR-WTN-UFN-PCP-PDG-NFCB-GLD-OFUF-3014, Local Cell ID=2, Cell Name=LTRP2001-2, eNodeB ID=22001, Cell FDD TDD indication=CELL_FDD",Reliable,8.909,25.695,23.398,33.132,50.907,46497570,9250071,391344,0,433,433,96,96,4,4,442010,47964,394814,51357,887266,83463,4057557,44543,0,0,3162054,93950,560,100,560,30.854
2021-11-16 16:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=0, Cell Name=LTRP2002-0, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,10.394,36.778,43.596,37.42,19.625,30421076,32965259,446405,0,958,958,76,76,30,30,1085130,304265,1427552,219412,611639,129762,6130689,76075,0,0,4877265,156060,1215,99.918,1216,39.772
2021-11-16 16:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=1, Cell Name=LTRP2002-1, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,9.296,41.116,39.342,76.686,19.541,105304870,29007337,193411,0,772,771,110,110,36,36,3277648,510785,3330285,294659,1534278,266247,2610262,55507,0,0,8774531,1044732,971,100,971,52.998
2021-11-16 16:00,60,"LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053/Cell:eNodeB Function Name=LTRP2002-BRIDGE CLY-CTH-UFN-PCP-PDG-NFCB-GLD-OFUF-3053, Local Cell ID=2, Cell Name=LTRP2002-2, eNodeB ID=22002, Cell FDD TDD indication=CELL_FDD",Unreliable,9.579,38.422,50.255,82.11,11.322,100089350,43515966,658495,0,1379,1377,86,86,54,54,2561769,311305,3368431,389466,746275,100367,3707103,95129,0,0,8206967,608462,1777,100,1777,51.166
2021-11-16 16:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=0, Cell Name=LTRP2005-0, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,10.436,37.246,32.013,37.682,30.742,36541648,27689134,470527,0,1192,1192,55,55,46,46,1083334,166786,927871,146610,923773,108057,3538286,65504,0,0,6807807,303553,1353,100,1353,38.558
2021-11-16 16:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=1, Cell Name=LTRP2005-1, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,9.263,29.422,23.879,63.482,46.699,88497318,22023927,620950,0,556,554,79,79,48,48,1243862,206286,993785,183181,1958283,343404,3250109,80689,0,0,8146808,480444,779,100,779,43.378
2021-11-16 16:00,60,"LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF/Cell:eNodeB Function Name=LTRP2005-IQBAL TOWN CSC-CTH-EXH-PCP-PDG-DCS-GLD-OF, Local Cell ID=2, Cell Name=LTRP2005-2, eNodeB ID=22005, Cell FDD TDD indication=CELL_FDD",Reliable,10.279,32.746,31.435,22.056,35.818,34568463,1966236,105728,0,293,293,23,23,8,8,374118,47024,339792,64489,414891,45759,2488737,52612,0,0,3699170,150700,337,100,337,31.634
