Result Time,Granularity Period,Object Name,Reliability,"Average CQI","DL 16 QAM","DL 64QAM (%)","DL PRB Usage Rate (%)","DL QPSK (%)","L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.E-RAB.AttEst","L.E-RAB.SuccEst","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.Traffic.DL.SCH.16QAM.TB","L.Traffic.DL.SCH.16QAM.TB.Retrans","L.Traffic.DL.SCH.64QAM.TB","L.Traffic.DL.SCH.64QAM.TB.Retrans","L.Traffic.DL.SCH.QPSK.TB","L.Traffic.DL.SCH.QPSK.TB.Retrans","L.Traffic.UL.SCH.16QAM.TB","L.Traffic.UL.SCH.16QAM.TB.Retrans","L.Traffic.UL.SCH.64QAM.TB","L.Traffic.UL.SCH.64QAM.TB.Retrans","L.Traffic.UL.SCH.QPSK.TB","L.Traffic.UL.SCH.QPSK.TB.Retrans","Rach Success","Rach Success Rate (%)","RACH Request","UL PRB Usage Rate (%)"
,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None
2021-11-16 17:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=0, Cell Name=MIRP3001-0, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.5,31.358,31.831,97.106,36.811,106717338,61736446,2006303,0,2308,2307,160,159,282,282,2783613,416067,2959516,288395,3264941,491100,4273368,133437,0,0,7604373,525223,2907,100,2907,54.796
2021-11-16 17:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=1, Cell Name=MIRP3001-1, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.547,48.939,31.936,38.808,19.126,61101601,4207533,290529,0,728,727,45,45,36,36,948020,98931,599711,83491,371311,37849,2367345,41903,0,0,6167807,315296,1019,100,1019,45.956
2021-11-16 17:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=2, Cell Name=MIRP3001-2, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,8.466,29.334,31.625,45.812,39.041,59634663,16476141,2064338,0,782,782,153,153,255,255,842298,119645,912491,124555,1130268,149965,3820657,107322,0,0,6921655,774465,1689,100,1689,46.306
2021-11-16 17:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=4, Cell Name=MIRP3001-4, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.649,38.751,34.081,93.468,27.168,100226930,63030704,646141,0,4042,4032,426,421,62,62,3504974,439535,3090708,378464,2457859,307639,1652982,100304,0,0,5648282,1106670,5306,100,5306,42.056
2021-11-16 17:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=0, Cell Name=MIRP3002-0, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,10.045,37,41.496,81.882,21.504,65153095,77439357,507483,0,2980,2978,264,214,172,172,3923896,455445,4447018,464514,2227004,318238,3060982,243301,0,0,6338387,1246134,6836,99.534,6868,64.744
2021-11-16 17:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=1, Cell Name=MIRP3002-1, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.319,33.957,30.163,41.71,35.88,41250763,29324959,269482,0,426,426,116,93,191,191,1023773,129499,933942,90458,1103267,115287,4811949,112713,0,0,4685152,281200,924,100,924,38.438
2021-11-16 17:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=2, Cell Name=MIRP3002-2, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,10.462,33.336,38.578,83.666,28.086,98925061,47180296,184292,0,3054,3054,197,181,30,30,2862116,344150,3377249,333175,2353336,347964,1700307,146265,0,0,10739053,2530999,3671,100,3671,63.03
2021-11-16 17:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=4, Cell Name=MIRP3002-4, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.234,41.957,35.837,89.806,22.206,83091479,73163099,1059617,0,2165,2164,148,97,361,361,3803343,404336,3234960,359035,2035836,191099,6031414,160973,0,0,6671779,434827,3230,99.969,3231,62.292
2021-11-16 17:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=5, Cell Name=MIRP3002-5, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,8.937,44.024,25.563,90.902,30.413,121116768,36817752,1341483,0,1785,1783,370,337,56,56,3410046,368933,1971030,223248,2333226,277360,3999559,208455,0,0,16831694,2346105,5400,100,5400,87.362
